Line,No,REGIST,MIC001,MIC004,CHART,MIC005,MIC006,MIC007,MIC008,MI0002,MI0001,MCE0040,MI0979,MI1070,MI0959,MI0248,備考
,30,,3768,リスクモンスター,,東Ｓ,情報・通信業,金融サービス,金融情報提供,27.64,362.0,0.00,4.14,独自データベースに基づく与信管理サービスを提供。ｅラーニング事業やＢＰＯも展開,-19.52,0.00,
,31,,3847,パシフィックS,,東Ｓ,情報・通信業,SI・ソフトウエア開発,ITインフラ構築,61.93,"4,185.0",0.00,3.24,太平洋セメント系の情報サービス業。画像処理に強み。親会社向け販売３割で、顧客開拓が課題,9.53,27.59,
,32,,4205,日本ゼオン,,東Ｐ,化学,化学,化成品・樹脂,"3,260.24","1,420.5",25.00,4.92,古河系。合成ゴム大手。タイヤ向けや各種特殊品を展開。合成ラテックス、高機能材料なども,5.24,0.00,
,33,,4206,アイカ工業,,東Ｐ、名Ｐ,化学,住宅設備・機器,住宅資材・設備,"2,176.41","3,220.0",4.00,3.60,メラミン化粧板で国内首位。不燃機能持たせた壁面材強い。海外接着剤会社買収しアジア強化,10.01,0.00,
,34,,4212,積水樹脂,,東Ｐ,化学,建設関連製品・設備,建設関連製品・設備,648.99,"2,040.0",5.00,3.43,防護壁など道路資材でトップ。外構・景観製品のデザイン力に強み。欧州強化中。積水グループ,3.75,0.00,
,35,,4326,インテージHLD,,東Ｐ,情報・通信業,他産業サービス・製品,市場調査,593.85,"1,469.0",2.00,3.40,日本で唯一、消費、販売の両パネル調査網持つ。市場調査分野で国内首位、２３年ドコモ傘下に,11.48,0.00,
,36,,4345,シーティーエス,,東Ｐ,サービス業,建設関連製品・設備,仮設建物・ユニットハウス,348.60,830.0,2.50,3.01,建設ＩＣＴの専門会社。現場向けＩＴインフラ、測量計測機器軸に全国展開。配当は業績に連動,16.18,0.00,
,37,,4503,アステラス製薬,,東Ｐ,医薬品,医薬品,医薬品,"27,325.91","1,510.0",4.00,4.90,医薬品国内２位。開発技術起点の研究開発体制。前立腺がん薬が柱。遺伝子・細胞治療技術育成,4.07,25.00,
,38,,4516,日本新薬,,東Ｐ,医薬品,医薬品,医薬品,"2,780.55","3,958.0",0.00,3.53,医家向け医薬品主体、自社創薬は泌尿器科、血液内科、難病・希少疾患に集中。機能食品も育成,13.62,0.00,
,39,,4671,ファルコHLD,,東Ｓ,サービス業,ヘルスケア製品・サービス,臨床検査,258.72,"2,335.0",5.00,5.13,臨床検査受託大手、調剤薬局、クラウド型医療施設支援展開。遺伝子検査技術生かす診断薬育成,6.55,0.00,
,40,,4732,ユー・エス・エス,,東Ｐ、名Ｐ,サービス業,他産業サービス・製品,中古車卸売り・オークション,"6,846.48","1,332.0",3.90,3.25,中古車オークション会場の運営で断トツ。中古車買い取り専門店の『ラビット』も。好財務,18.56,0.00,
,41,,4763,クリーク&リバー社,,東Ｐ,サービス業,他産業サービス・製品,人材派遣・請負,375.04,"1,630.0",2.00,3.06,テレビ・ゲーム・Ｗｅｂ・広告等の派遣、制作が主。医療、会計・法曹など専門職分野にも意欲,19.93,―,
,42,,4765,SBIグロバルAM,,東Ｐ,サービス業,金融サービス,金融情報提供,590.94,659.0,0.00,3.26,金融機関の有価証券運用受託が柱。投信データ販売やセミナー、指数連動投信も。ＳＢＩ傘下,11.27,―,
,43,,4848,フルキャストHLD,,東Ｐ,サービス業,他産業サービス・製品,人材派遣・請負,546.55,"1,458.0",1.00,4.25,日雇い派遣から撤退し、アルバイト紹介と同給与管理代行に主力事業を移行。警備業務請負も,22.63,0.00,
,44,,4928,ノエビアHLD,,東Ｐ,化学,トイレタリー・化粧品,化粧品,"1,605.36","4,700.0",0.00,4.89,小売り向け化粧品と対面販売で高級基礎化粧品展開。傘下の常盤薬品は栄養飲料、アメに強み,15.05,1.73,
,45,,5280,ヨシコン,,東Ｓ,不動産業,不動産(住宅),マンション分譲,120.45,"1,500.0",3.00,3.86,静岡地盤。マンションや事業用不動産を開発。ＲＥＩＴ運用。祖業のコンクリはファブレス化,9.90,0.00,
,46,,5970,ジーテクト,,東Ｐ,金属製品,自動車部品,自動車部品(プレス),734.09,"1,671.0",7.00,4.54,ホンダ系の自動車骨格プレス部品メーカー。１１年菊池プレスが高尾金属を合併。海外積極展開,5.53,5.63,
,47,,6028,テクノプロHLD,,東Ｐ,サービス業,他産業サービス・製品,人材派遣・請負,"3,041.99","2,911.0",10.00,3.57,国内最大級の技術系人材サービスグループの持株会社。ＩＴ技術者に強み。配当性向５割方針,22.91,0.00,
,48,,6196,ストライク,,東Ｐ,サービス業,他産業サービス・製品,経営コンサル,681.26,"3,520.0",11.00,3.15,中小企業の事業承継案件主体のＭ＆Ａ仲介会社。譲渡先、買収先双方からの仲介報酬が収益源,30.48,0.03,
,49,,6294,オカダアイヨン,,東Ｐ,機械,建設農業機械・産業車両,建設機械,155.08,"1,851.0",4.00,3.99,破砕・解体用建機メーカー。環境機械も仕入れ販売。米国など海外も拡大中。林業機械会社買収,9.50,0.00,
,50,,6432,竹内製作所,,東Ｐ,機械,建設農業機械・産業車両,建設機械,"2,398.50","4,895.0",42.00,4.08,ミニショベル主体の建機中堅、クローラーローダーを世界初開発、海外販売比率高くシェア上位,20.32,―,
,51,,6737,EIZO,,東Ｐ,電気機器,電子部品・産業用電子機器,パソコン・周辺機器,929.36,"2,114.0",57.50,5.20,ヘルスケアや航空管制など特定産業用からアミューズメント用まで。映像技術の総合企業標榜,2.62,0.00,
