stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,asset_ratio,dividend_ratio
9872,北恵株式会社,8810420080.0,553338000.0,8652000.0,0.06,0.02
6247,株式会社日阪製作所,41174102400.0,12387000000.0,422000000.0,0.3,0.03
4171,株式会社グローバルインフォメーション,4093760400.0,0.0,0.0,0.0,0.0
6037,楽待株式会社,23996754400.0,4165473000.0,0.0,0.17,0.0
6543,株式会社日宣,4179972160.0,344244000.0,5040000.0,0.08,0.01
5905,日本製罐株式会社,1898688000.0,2717886000.0,55407000.0,1.43,0.02
3657,ポールトゥウィンホールディングス株式会社,14003252000.0,627107000.0,0.0,0.04,0.0
2373,株式会社ケア２１,6382920000.0,1509769000.0,22020000.0,0.24,0.01
1736,株式会社　オーテック,7894500000.0,6297294000.0,104947000.0,0.8,0.02
6999,ＫＯＡ株式会社,33679130368.0,4773000000.0,72000000.0,0.14,0.02
8091,ニチモウ株式会社,20044580000.0,13746000000.0,211000000.0,0.69,0.02
8368,株式会社　百五銀行,188048060000.0,0.0,0.0,0.0,0.0
9729,株式会社トーカイ,76732025634.0,8257000000.0,240000000.0,0.11,0.03
8081,株式会社カナデン,45900000000.0,4358000000.0,84000000.0,0.09,0.02
3123,サイボー株式会社,7344000000.0,6601304000.0,102123000.0,0.9,0.02
5186,ニッタ株式会社,119877120000.0,52820000000.0,312000000.0,0.44,0.01
2901,株式会社ウェルディッシュ,12868682000.0,0.0,0.0,0.0,0.0
7180,株式会社九州フィナンシャルグループ,352489368156.4331,56000000.0,2000000.0,0.0,0.04
7058,共栄セキュリティーサービス株式会社,3889783000.0,53259000.0,26306000.0,0.01,0.49
4316,株式会社ビーマップ,1973350000.0,49768000.0,2261000.0,0.03,0.05
3248,株式会社アールエイジ,2668859000.0,8497000.0,30358000.0,0.0,3.57
2700,木徳神糧株式会社,3603072000.0,4179155000.0,163468000.0,1.16,0.04
6367,ダイキン工業株式会社,5290689650000.0,171857000000.0,5015000000.0,0.03,0.03
5440,共英製鋼株式会社,99271092030.0,18060000000.0,363000000.0,0.18,0.02
1418,インターライフホールディングス株式会社,6906060000.0,536023000.0,14396000.0,0.08,0.03
8904,株式会社ＡＶＡＮＴＩＡ,12071167300.0,437672000.0,15342000.0,0.04,0.04
1879,新日本建設株式会社,104804109760.0,1345000000.0,30000000.0,0.01,0.02
3040,株式会社ソリトンシステムズ,26430371032.0,56000000.0,18000000.0,0.0,0.32
7313,テイ・エス　テック株式会社,240380000000.0,6238000000.0,11040000000.0,0.03,1.77
4956,コニシ株式会社,84074316000.0,9838000000.0,295000000.0,0.12,0.03
4539,日本ケミファ株式会社,6391500000.0,2066000000.0,36000000.0,0.32,0.02
4531,有機合成薬品工業株式会社,5779162000.0,2047000000.0,45000000.0,0.35,0.02
3175,株式会社エー・ピーホールディングス,11878264300.0,195339000.0,3962000.0,0.02,0.02
9271,株式会社和心,2834325000.0,0.0,0.0,0.0,0.0
7888,三光合成株式会社,24243520000.0,24000000.0,1000000.0,0.0,0.04
2993,株式会社長栄,9054161600.0,0.0,9854000.0,0.0,0.0
7114,株式会社フーディソン,4209148240.0,0.0,0.0,0.0,0.0
3011,株式会社バナーズ,2873524212.0,1502000.0,9463000.0,0.0,6.3
6136,オーエスジー株式会社,183586838967.0,6351000000.0,175000000.0,0.03,0.03
2060,フィード・ワン株式会社,41170526960.0,10450000000.0,164000000.0,0.25,0.02
6022,株式会社　赤阪鐵工所,3802260000.0,2302766000.0,62203000.0,0.61,0.03
6535,株式会社アイモバイル,37272347508.0,477000000.0,0.0,0.01,0.0
9305,株式会社ヤマタネ,26636136988.0,26316000000.0,614000000.0,0.99,0.02
9253,スローガン株式会社,2190094500.0,146544000.0,0.0,0.07,0.0
5909,株式会社　コロナ,26907030318.0,22664000000.0,72000000.0,0.84,0.0
6550,Ｕｎｉｐｏｓ株式会社,2213026000.0,0.0,0.0,0.0,0.0
8075,神鋼商事株式会社,17985800000.0,32574000000.0,1329000000.0,1.81,0.04
4587,ペプチドリーム株式会社,215687253600.0,1345662000.0,247825000.0,0.01,0.18
7599,株式会社ＩＤＯＭ,105391568000.0,0.0,167000000.0,0.0,0.0
4833,株式会社Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,2725087395.0,0.0,0.0,0.0,0.0
3070,株式会社ジェリービーンズグループ,6060060000.0,0.0,0.0,0.0,0.0
6367,ダイキン工業株式会社,5290689650000.0,160032000000.0,3846000000.0,0.03,0.02
4745,株式会社東京個別指導学院,18839127945.0,0.0,0.0,0.0,0.0
2335,株式会社キューブシステム,17970750000.0,2170000000.0,17000000.0,0.12,0.01
6551,株式会社ツナググループ・ホールディングス,5629894872.0,0.0,11100000.0,0.0,0.0
9640,株式会社セゾンテクノロジー,31379400000.0,747525000.0,6561000.0,0.02,0.01
7228,株式会社デイトナ,13138767000.0,0.0,43930000.0,0.0,0.0
7202,いすゞ自動車株式会社,1397798548671.0,151437000000.0,114201000000.0,0.11,0.75
4728,株式会社トーセ,5162395000.0,609911000.0,10204000.0,0.12,0.02
3896,阿波製紙株式会社,3885704000.0,199818000.0,6222000.0,0.05,0.03
4393,株式会社バンク・オブ・イノベーション,46234650000.0,0.0,10000000.0,0.0,0.0
6996,ニチコン株式会社,85820000000.0,26688000000.0,701000000.0,0.31,0.03
1450,ＴＡＮＡＫＥＮ株式会社,12283835200.0,241968000.0,10124000.0,0.02,0.04
5381,Ｍｉｐｏｘ株式会社,7399383040.0,162560000.0,313820000.0,0.02,1.93
9557,株式会社エアークローゼット,3870116800.0,0.0,0.0,0.0,0.0
3903,株式会社ｇｕｍｉ,25965617504.0,2754074000.0,15755000.0,0.11,0.01
7793,株式会社イメージ・マジック,3195648080.0,0.0,0.0,0.0,0.0
6230,ＳＡＮＥＩ株式会社,9256716000.0,484999000.0,8829000.0,0.05,0.02
9878,株式会社　セキド,2756040000.0,124088000.0,3152000.0,0.05,0.03
7986,日本アイ・エス・ケイ株式会社,2992560000.0,215922000.0,5592000.0,0.07,0.03
4666,パーク二四株式会社（定款上の商号　パーク２４株式会社）,324136659255.0,0.0,344000000.0,0.0,0.0
7823,株式会社アートネイチャー,28030295000.0,2092000000.0,0.0,0.07,0.0
9034,南総通運株式会社,13880000000.0,505748000.0,11991000.0,0.04,0.02
6048,株式会社デザインワン・ジャパン,1520210000.0,396440000.0,0.0,0.26,0.0
1419,タマホーム株式会社,100886115000.0,324000000.0,428000000.0,0.0,1.32
7261,マツダ株式会社,535895312312.43896,271063000000.0,4724000000.0,0.51,0.02
6638,株式会社ミマキエンジニアリング,68117040000.0,143815000.0,2483000.0,0.0,0.02
