stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,current_net_sales,operating_income,asset_ratio,dividend_ratio,operating_margin,sales_growth_rate
3181,株式会社買取王国,3308637150.0,150000000.0,0.0,7822875000.0,422066000.0,0.05,0.0,5.4,16.08
4716,日本オラクル株式会社,2138650494570.0,36000000.0,0.0,244542000000.0,79820000000.0,0.0,0.0,32.64,7.77
6338,株式会社タカトリ,8467877580.0,207024000.0,12848000.0,16082270000.0,2786827000.0,0.02,0.06,17.33,-1.75
9513,電源開発株式会社,460464790500.0,727385000000.0,2605000000.0,0.0,138310000000.0,1.58,0.0,0.0,0.0
2705,株式会社大戸屋ホールディングス,38318544000.0,20000000.0,0.0,31385000000.0,1661000000.0,0.0,0.0,5.29,12.52
3672,株式会社オルトプラス,1822256772.0,4863000.0,0.0,3516498000.0,0.0,0.0,0.0,0.0,-19.86
4687,ＴＤＣソフト株式会社,31643136000.0,2934970000.0,76933000.0,39698050000.0,3807693000.0,0.09,0.03,9.59,12.64
7220,武蔵精密工業株式会社,214895760000.0,16574000000.0,400000000.0,349917000000.0,18374000000.0,0.08,0.02,5.25,16.06
3686,株式会社ディー・エル・イー,7482499200.0,2000028000.0,0.0,1705511000.0,0.0,0.27,0.0,0.0,-15.6
6954,ファナック株式会社,3772637574150.0,192214000000.0,2350000000.0,797129000000.0,158846000000.0,0.05,0.01,19.93,0.23
3086,Ｊ．フロント　リテイリング株式会社,544919448696.0,2067000000.0,939000000.0,0.0,8539000000.0,0.0,0.45,0.0,0.0
3415,株式会社ＴＯＫＹＯ　ＢＡＳＥ,21558233158.0,0.0,0.0,19986284000.0,881231000.0,0.0,0.0,4.41,4.19
1968,太平電業株式会社,119198260000.0,16676000000.0,366000000.0,129363000000.0,10049000000.0,0.14,0.02,7.77,2.85
3934,株式会社ベネフィットジャパン,10276863168.0,11000000.0,175046000.0,13065995000.0,887265000.0,0.0,15.91,6.79,4.05
3835,ｅＢＡＳＥ株式会社,23582400000.0,1456636000.0,0.0,5192122000.0,1651262000.0,0.06,0.0,31.8,10.13
9010,富士急行株式会社,109989014952.0,8720974000.0,151188000.0,0.0,8313679000.0,0.08,0.02,0.0,0.0
9872,北恵株式会社,8810420080.0,553338000.0,8652000.0,61286027000.0,920394000.0,0.06,0.02,1.5,-1.74
6247,株式会社日阪製作所,41174102400.0,12387000000.0,422000000.0,38353000000.0,2930000000.0,0.3,0.03,7.64,12.21
4171,株式会社グローバルインフォメーション,4093760400.0,0.0,0.0,2749260000.0,437788000.0,0.0,0.0,15.92,-5.78
6037,楽待株式会社,23996754400.0,4165473000.0,0.0,0.0,1060857000.0,0.17,0.0,0.0,0.0
6543,株式会社日宣,4179972160.0,344244000.0,5040000.0,5533651000.0,393459000.0,0.08,0.01,7.11,5.91
5905,日本製罐株式会社,1898688000.0,2717886000.0,55407000.0,12248450000.0,256952000.0,1.43,0.02,2.1,12.17
3657,ポールトゥウィンホールディングス株式会社,14003252000.0,627107000.0,0.0,52225791000.0,786509000.0,0.04,0.0,1.51,11.77
2373,株式会社ケア２１,6382920000.0,1509769000.0,22020000.0,45396768000.0,0.0,0.24,0.01,0.0,10.46
1736,株式会社　オーテック,7894500000.0,6297294000.0,104947000.0,31424058000.0,4024525000.0,0.8,0.02,12.81,6.98
6999,ＫＯＡ株式会社,33679130368.0,4773000000.0,72000000.0,64835000000.0,3313000000.0,0.14,0.02,5.11,-13.64
8091,ニチモウ株式会社,20044580000.0,13746000000.0,211000000.0,127756000000.0,2020000000.0,0.69,0.02,1.58,0.73
8368,株式会社　百五銀行,188048060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9729,株式会社トーカイ,76732025634.0,8257000000.0,240000000.0,149542000000.0,8205000000.0,0.11,0.03,5.49,8.19
8081,株式会社カナデン,45900000000.0,4358000000.0,84000000.0,125665000000.0,4500000000.0,0.09,0.02,3.58,8.08
3123,サイボー株式会社,7344000000.0,6601304000.0,102123000.0,10297819000.0,806022000.0,0.9,0.02,7.83,-9.85
5186,ニッタ株式会社,119877120000.0,52820000000.0,312000000.0,88609000000.0,4421000000.0,0.44,0.01,4.99,0.69
2901,株式会社ウェルディッシュ,12868682000.0,0.0,0.0,1974441000.0,200553000.0,0.0,0.0,10.16,-2.04
7180,株式会社九州フィナンシャルグループ,352489368156.4331,56000000.0,2000000.0,0.0,6882000000.0,0.0,0.04,0.0,0.0
7058,共栄セキュリティーサービス株式会社,3889783000.0,53259000.0,26306000.0,9354746000.0,309201000.0,0.01,0.49,3.31,16.67
4316,株式会社ビーマップ,1973350000.0,49768000.0,2261000.0,1598968000.0,139275000.0,0.03,0.05,8.71,53.39
3248,株式会社アールエイジ,2668859000.0,8497000.0,30358000.0,4725523000.0,890588000.0,0.0,3.57,18.85,37.35
2700,木徳神糧株式会社,3603072000.0,4179155000.0,163468000.0,118998507000.0,2377071000.0,1.16,0.04,2.0,3.63
6367,ダイキン工業株式会社,5290689650000.0,171857000000.0,5015000000.0,4395317000000.0,392137000000.0,0.03,0.03,8.92,10.39
5440,共英製鋼株式会社,99271092030.0,18060000000.0,363000000.0,320982000000.0,21055000000.0,0.18,0.02,6.56,-9.76
1418,インターライフホールディングス株式会社,6906060000.0,536023000.0,14396000.0,16940669000.0,875643000.0,0.08,0.03,5.17,34.17
8904,株式会社ＡＶＡＮＴＩＡ,12071167300.0,437672000.0,15342000.0,71021500000.0,946841000.0,0.04,0.04,1.33,22.11
1879,新日本建設株式会社,104804109760.0,1345000000.0,30000000.0,131662000000.0,18310000000.0,0.01,0.02,13.91,-1.39
3040,株式会社ソリトンシステムズ,26430371032.0,56000000.0,18000000.0,18606000000.0,2043000000.0,0.0,0.32,10.98,-2.37
7313,テイ・エス　テック株式会社,240380000000.0,6238000000.0,11040000000.0,92179000000.0,1114000000.0,0.03,1.77,1.21,24.94
4956,コニシ株式会社,84074316000.0,9838000000.0,295000000.0,135876000000.0,10649000000.0,0.12,0.03,7.84,2.19
4539,日本ケミファ株式会社,6391500000.0,2066000000.0,36000000.0,30748000000.0,106000000.0,0.32,0.02,0.34,-2.57
4531,有機合成薬品工業株式会社,5779162000.0,2047000000.0,45000000.0,15128000000.0,1216000000.0,0.35,0.02,8.04,16.98
3175,株式会社エー・ピーホールディングス,11878264300.0,195339000.0,3962000.0,20598568000.0,95508000.0,0.02,0.02,0.46,19.93
9271,株式会社和心,2834325000.0,0.0,0.0,2094946000.0,416586000.0,0.0,0.0,19.89,57.4
7888,三光合成株式会社,24243520000.0,24000000.0,1000000.0,93784000000.0,4131000000.0,0.0,0.04,4.4,15.62
2993,株式会社長栄,9054161600.0,0.0,9854000.0,10018008000.0,1800825000.0,0.0,0.0,17.98,6.93
7114,株式会社フーディソン,4209148240.0,0.0,0.0,6866324000.0,167387000.0,0.0,0.0,2.44,8.1
3011,株式会社バナーズ,2873524212.0,1502000.0,9463000.0,5601271000.0,343901000.0,0.0,6.3,6.14,19.56
6136,オーエスジー株式会社,183586838967.0,6351000000.0,175000000.0,155517000000.0,18868000000.0,0.03,0.03,12.13,5.29
2060,フィード・ワン株式会社,41170526960.0,10450000000.0,164000000.0,296045000000.0,6343000000.0,0.25,0.02,2.14,-5.68
6022,株式会社　赤阪鐵工所,3802260000.0,2302766000.0,62203000.0,7845996000.0,19148000.0,0.61,0.03,0.24,-1.11
6535,株式会社アイモバイル,37272347508.0,477000000.0,0.0,18735000000.0,3549000000.0,0.01,0.0,18.94,14.06
9305,株式会社ヤマタネ,26636136988.0,26316000000.0,614000000.0,0.0,3780000000.0,0.99,0.02,0.0,0.0
9253,スローガン株式会社,2190094500.0,146544000.0,0.0,1350205000.0,124402000.0,0.07,0.0,9.21,-4.81
5909,株式会社　コロナ,26907030318.0,22664000000.0,72000000.0,85214000000.0,1343000000.0,0.84,0.0,1.58,3.86
6550,Ｕｎｉｐｏｓ株式会社,2213026000.0,0.0,0.0,1089727000.0,0.0,0.0,0.0,0.0,17.14
8075,神鋼商事株式会社,17985800000.0,32574000000.0,1329000000.0,617177000000.0,13223000000.0,1.81,0.04,2.14,4.35
4587,ペプチドリーム株式会社,215687253600.0,1345662000.0,247825000.0,31313392000.0,21040136000.0,0.01,0.18,67.19,146.5
7599,株式会社ＩＤＯＭ,105391568000.0,0.0,167000000.0,496678000000.0,19890000000.0,0.0,0.0,4.0,18.3
4833,株式会社Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,2725087395.0,0.0,0.0,619677000.0,0.0,0.0,0.0,0.0,16.4
3070,株式会社ジェリービーンズグループ,6060060000.0,0.0,0.0,831619000.0,7109000.0,0.0,0.0,0.85,-9.58
6367,ダイキン工業株式会社,5290689650000.0,160032000000.0,3846000000.0,4752335000000.0,401669000000.0,0.03,0.02,8.45,8.12
4745,株式会社東京個別指導学院,18839127945.0,0.0,0.0,22182368000.0,1598559000.0,0.0,0.0,7.21,2.41
2335,株式会社キューブシステム,17970750000.0,2170000000.0,17000000.0,18351000000.0,1380000000.0,0.12,0.01,7.52,1.83
6551,株式会社ツナググループ・ホールディングス,5629894872.0,0.0,11100000.0,16388728000.0,629956000.0,0.0,0.0,3.84,9.06
9640,株式会社セゾンテクノロジー,31379400000.0,747525000.0,6561000.0,24383235000.0,2141830000.0,0.02,0.01,8.78,2.17
7228,株式会社デイトナ,13138767000.0,0.0,43930000.0,14578068000.0,1714826000.0,0.0,0.0,11.76,4.42
7202,いすゞ自動車株式会社,1397798548671.0,151437000000.0,114201000000.0,1428208000000.0,0.0,0.11,0.75,0.0,8.36
4728,株式会社トーセ,5162395000.0,609911000.0,10204000.0,4615576000.0,71800000.0,0.12,0.02,1.56,-20.19
3896,阿波製紙株式会社,3885704000.0,199818000.0,6222000.0,17124457000.0,432414000.0,0.05,0.03,2.53,6.26
4393,株式会社バンク・オブ・イノベーション,46234650000.0,0.0,10000000.0,13615000000.0,1329000000.0,0.0,0.0,9.76,-36.18
6996,ニチコン株式会社,85820000000.0,26688000000.0,701000000.0,175751000000.0,5203000000.0,0.31,0.03,2.96,-3.24
1450,ＴＡＮＡＫＥＮ株式会社,12283835200.0,241968000.0,10124000.0,12286088000.0,2328352000.0,0.02,0.04,18.95,15.08
5381,Ｍｉｐｏｘ株式会社,7399383040.0,162560000.0,313820000.0,11172060000.0,942227000.0,0.02,1.93,8.43,19.43
9557,株式会社エアークローゼット,3870116800.0,0.0,0.0,4216157000.0,0.0,0.0,0.0,0.0,12.73
3903,株式会社ｇｕｍｉ,25965617504.0,2754074000.0,15755000.0,12066565000.0,0.0,0.11,0.01,0.0,-24.63
7793,株式会社イメージ・マジック,3195648080.0,0.0,0.0,7767457000.0,439815000.0,0.0,0.0,5.66,77.46
6230,ＳＡＮＥＩ株式会社,9256716000.0,484999000.0,8829000.0,28465447000.0,1883799000.0,0.05,0.02,6.62,3.39
9878,株式会社　セキド,2756040000.0,124088000.0,3152000.0,7494389000.0,0.0,0.05,0.03,0.0,-11.63
7986,日本アイ・エス・ケイ株式会社,2992560000.0,215922000.0,5592000.0,5901003000.0,518713000.0,0.07,0.03,8.79,3.29
4666,パーク二四株式会社（定款上の商号　パーク２４株式会社）,324136659255.0,0.0,344000000.0,370913000000.0,38697000000.0,0.0,0.0,10.43,12.36
7823,株式会社アートネイチャー,28030295000.0,2092000000.0,0.0,43340000000.0,2181000000.0,0.07,0.0,5.03,1.14
9034,南総通運株式会社,13880000000.0,505748000.0,11991000.0,0.0,2018097000.0,0.04,0.02,0.0,0.0
6048,株式会社デザインワン・ジャパン,1520210000.0,396440000.0,0.0,2264846000.0,4504000.0,0.26,0.0,0.2,-6.75
1419,タマホーム株式会社,100886115000.0,324000000.0,428000000.0,247733000000.0,12586000000.0,0.0,1.32,5.08,-3.25
7261,マツダ株式会社,535895312312.43896,271063000000.0,4724000000.0,5018893000000.0,186125000000.0,0.51,0.02,3.71,3.96
6638,株式会社ミマキエンジニアリング,68117040000.0,143815000.0,2483000.0,83963694000.0,9111805000.0,0.0,0.02,10.85,11.02
8043,スターゼン株式会社,21571810000.0,21597000000.0,179000000.0,436112000000.0,9046000000.0,1.0,0.01,2.07,6.23
7269,スズキ株式会社,3246479026000.0,276650000000.0,61379000000.0,2627921000000.0,188095000000.0,0.09,0.22,7.16,0.89
3660,株式会社アイスタイル,44967903336.0,3557000000.0,7000000.0,56085000000.0,1940000000.0,0.08,0.0,3.46,30.76
3659,株式会社ネクソン,2345782533500.0,814000000.0,103980000000.0,7303000000.0,0.0,0.0,127.74,0.0,23.36
8892,株式会社エスコン,99566695870.0,19546000000.0,119000000.0,113603000000.0,21311000000.0,0.2,0.01,18.76,-4.42
9997,株式会社ベルーナ,93645972000.0,14576000000.0,479000000.0,210856000000.0,11887000000.0,0.16,0.03,5.64,1.23
4370,モビルス株式会社,2473101036.0,0.0,0.0,1534111000.0,0.0,0.0,0.0,0.0,-3.79
