stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,current_net_sales,operating_income,asset_ratio,dividend_ratio,operating_margin,sales_growth_rate
5070,株式会社ドラフト,5363282400.0,0.0,0.0,12276867000.0,1022803000.0,0.0,0.0,8.33,14.71
7483,株式会社ドウシシャ,91045500000.0,2683000000.0,449000000.0,105824000000.0,7926000000.0,0.03,0.17,7.49,0.11
4179,株式会社ジーネクスト,1491974064.0,0.0,0.0,610779000.0,0.0,0.0,0.0,0.0,-5.62
2654,株式会社アスモ,5649085000.0,0.0,0.0,20529656000.0,296839000.0,0.0,0.0,1.45,-0.02
4320,株式会社ＣＥホールディングス,10785288000.0,438348000.0,2558000.0,14554161000.0,1148240000.0,0.04,0.01,7.89,6.76
8544,株式会社　京葉銀行,145883970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6363,株式会社酉島製作所,60008372814.0,10463000000.0,307000000.0,86501000000.0,5449000000.0,0.17,0.03,6.3,6.66
4419,株式会社Ｆｉｎａｔｅｘｔホールディングス,57815338924.0,46153000.0,0.0,7702356000.0,950126000.0,0.0,0.0,12.34,43.29
3020,アプライド株式会社,9393620000.0,33000000.0,0.0,42819000000.0,2124000000.0,0.0,0.0,4.96,10.91
6208,株式会社石川製作所,9251865000.0,1312554000.0,30952000.0,13598145000.0,253652000.0,0.14,0.02,1.87,7.98
7859,株式会社アルメディオ,4639808468.0,0.0,1057423000.0,11557357000.0,3364276000.0,0.0,0.0,29.11,133.92
4538,扶桑薬品工業株式会社,20083734125.0,4375000000.0,107000000.0,60563000000.0,4131000000.0,0.22,0.02,6.82,9.31
3350,株式会社メタプラネット,48925982566.0,73654000.0,0.0,1062283000.0,350403000.0,0.0,0.0,32.99,306.02
4679,株式会社　田　谷,1306872000.0,0.0,0.0,5444575000.0,3885000.0,0.0,0.0,0.07,-6.77
4074,株式会社ラキール,7664827500.0,712643000.0,0.0,7968676000.0,560124000.0,0.09,0.0,7.03,4.12
3435,サンコーテクノ株式会社,11788809984.0,1175073000.0,18067000.0,21142218000.0,2066881000.0,0.1,0.02,9.78,2.61
7817,パラマウントベッドホールディングス株式会社,146070282912.0,21682000000.0,437000000.0,108583000000.0,12977000000.0,0.15,0.02,11.95,2.42
9336,大栄環境株式会社,299079342600.0,7763000000.0,78000000.0,80178000000.0,21548000000.0,0.03,0.01,26.88,9.78
3854,株式会社アイル,66713294592.0,146256000.0,18020000.0,17508405000.0,4263812000.0,0.0,0.12,24.35,9.95
