stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,asset_ratio,dividend_ratio
5070,株式会社ドラフト,5343195200.0,0.0,0,0.0,0.0
7483,株式会社ドウシシャ,90970750000.0,2683000000.0,0,0.03,0.0
4179,株式会社ジーネクスト,1475115600.0,0.0,0,0.0,0.0
2654,株式会社アスモ,5618795000.0,0.0,0,0.0,0.0
4320,株式会社ＣＥホールディングス,10754251200.0,438348000.0,0,0.04,0.0
8544,株式会社　京葉銀行,146146824000.0,0.0,0,0.0,0.0
6363,株式会社酉島製作所,60095509851.0,10463000000.0,0,0.17,0.0
4419,株式会社Ｆｉｎａｔｅｘｔホールディングス,57917939348.0,46153000.0,0,0.0,0.0
3020,アプライド株式会社,9393620000.0,33000000.0,0,0.0,0.0
